Game,Platform,Genre,Rating,Played,IGDB,Completed,Quick Review,Notes,GOTY
Eco,PC,Builder,9,2/12/2021,34939,NA,One heck of an addicting game.,Played around 125 hours. In like two weeks.,Silver
Cyber Shadow,PC,Platformer,6,2/8/2021,116650,FALSE,"Fun start, but absolutely brutal second half. Did not finish.",,
Beyond Good and Evil,PC,Action,8,1/19/2021,1341,TRUE,Great music and fun story.,,
Zelda: Wand of Gamelon,PC,Platformer,3,1/10/2021,8533,TRUE,The best game I've ever played.,,
Ooblets,PC,Builder,6,1/6/2021,27366,FALSE,"Good, but 8 hours in and still barely have my farm started. The build up is too slow. Love the vibe and jokes though.",,
Cyberpunk 2077,PC,RPG,10,12/31/2020,1877,TRUE,"A little buggy, but an amazing game. Combat is fun and all of the storylines are pretty great. Really lets you play how you want and the skill system supports that.",,Gold
Space Court,PC,Visual Novel,5,12/31/2020,137684,TRUE,PORCS ARE BEST,,
Cthulhu Saves Christmas,PC,RPG,7,12/22/2020,124286,TRUE,"Funny writing, good characters, kinda repetitive gameplay.",,
Bugsnax,PC,Adventure,8,12/8/2020,134602,TRUE,"Fun game with a crazy story, but nothing too mind blowing.",,
Yakuza: Like a Dragon,PC,RPG,8,12/2/2020,36550,TRUE,"Fun story, good characters, terrible boss mechanics and game design forcing you to hit level walls constantly.",,
Chicken Police,PC,Mystery,9,11/9/2020,119323,TRUE,Way better than it had any right to be. Full of Noir goodness.,,
Down The Rabbit Hole,PC,Puzzle,6,10/23/2020,130002,TRUE,"Pretty decent, but the ending depends on how many collectables you find.",,
The Curious Tale of the Stolen Pets,PC,Puzzle,6,10/23/2020,119332,TRUE,Fun little hide and seek. Would be great for vr beginners.,,
Hello Puppets!,PC,Horror,8,10/22/2020,155776,TRUE,Really fun horror game with a great art style and good writing. A little buggy at release.,,
The Signifier,PC,Puzzle,7,10/21/2020,131886,TRUE,"I dont even know what happened, but it had a cool ending.",,
Beyond: Two Souls,PC,Adventure,8,10/16/2020,1342,TRUE,Great story!,,
Shadowrun Dragonfall,PC,RPG,7,10/10/2020,22652,TRUE,Pretty good! Liked the overall story.,,
Helltaker,PC,Puzzle,7,9/28/2020,133152,TRUE,Characters are cool! Wish the game was only puzzles and a bit longer.,,
Phasmophobia,PC,Horror,8,9/26/2020,132516,NA,"I hate horror, but this one is super fun.",,
Paradise Killer,PC,Mystery,10,9/24/2020,127816,TRUE,What a hell of a world and story. Loved it.,,
Wasteland 3,PC,RPG,8,9/18/2020,24863,FALSE,Good RPG! A little buggy here and there.,,
Gris,PC,Platformer,7,9/9/2020,22917,TRUE,Great music and story. But little direction on the puzzles and locations of star pieces is frustrating at times.,,
There is no game,PC,Adventure,8,9/8/2020,28336,TRUE,Great story. Definitely recommend giving it a shot.,,
Fire Emblem: Three Houses,Switch,Strategy,8,8/20/2020,26845,FALSE,"Pretty good so far, but it is super slow paced.",,
Murdered: Soul Suspect,PC,Mystery,8,8/19/2020,3188,TRUE,Great story. The actual gameplay is mostly hide and seek.,,
Journey,PC,Adventure,8,8/14/2020,1352,TRUE,Still an amazing game.,,
Katana Zero,PC,Action,9,8/11/2020,20150,TRUE,Cool story and fun gameplay.,,
Fall Guys,PS4,Platformer,6,8/8/2020,119313,NA,It's pretty good!,,
Ghost of Tsushima,PC,RPG,10,8/6/2020,75235,TRUE,Crazy good game. Excellent combat.,"Lethal difficulty, 100% achievements",Silver
Deadly Premonition 2,PC,Action,5,7/15/2020,122232,TRUE,What a shitshow...,,
Hell Let Loose,PC,Shooter,8,7/10/2020,32365,NA,"Super fun co-op, but the community is sort of bad.",,
Poe and Munro,PC,Visual Novel,5,7/7/2020,118668,TRUE,"Decent, but the story is all over the place and no where near as good as their other games.",,
Deathtrap Dungeon: The Interactive Video Adventure,PC,RPG,7,7/6/2020,129936,TRUE,Good game based on choose your own adventure books.,,
The Messenger,PC,Platformer,9,7/2/2020,71628,TRUE,Good game with good controls. But I suck at platformers.,,
Blackwell Legacy,PC,Adventure,6,6/24/2020,9043,TRUE,"Good story, some of the gameplay is meh.",,
Assassin's Creed: Odyssey,PC,RPG,9,6/15/2020,103054,TRUE,Great game with good story and mechanics.,,
Grimm's Hollow,PC,RPG,7,6/5/2020,125110,TRUE,Good little feel good story.,,
She Sees red,PC,Mystery,7,5/28/2020,118645,TRUE,Good quick little FMVV game.,Finished 2 playthroughs,
Fallout 76,PC,RPG,7,5/27/2020,103020,TRUE,"Despite it's flaws, still a pretty fun game.",,
Deep Rock Galactic,PC,RPG,7,5/23/2020,27134,NA,A fun little co-op game with lots of digging.,,
Borderlands 3,PS4,RPG,8,5/20/2020,19164,TRUE,Enjoyed it way more than I expected.,,
The Legend of Heroes: Trails of Cold Steel,PC,RPG,7,5/20/2020,13557,FALSE,"Pretty good jrpg with a fun battle system, but little voice acting.",,
For The King,PC,RPG,7,5/10/2020,20331,NA,A pretty fun board game like thing.,,
Warhammer Chaosbane,PS4,RPG,8,5/8/2020,103168,TRUE,A fun ARPG with crazy hordes to fight.,,
MMORPG Tycoon 2,PC,Simulator,7,5/5/2020,125701,FALSE,Pretty good! This game has crazy amounts of promise.,,
Anachronox,PC,RPG,5,5/1/2020,5622,FALSE,"Strong start, but jokes fall off and are replaced with boring tedious levels.",,
Coin Game,PC,Simulator,6,4/28/2020,138500,FALSE,A weird game about going to an arcade?,,
Chrono Trigger,PC,RPG,9,4/23/2020,89828,TRUE,"Good story, but some of the bosses have some messed up mechanics.",,
Doom: Eternal,PC,Shooter,8,4/10/2020,103298,TRUE,Good! Maruaders can go screw themselves.,,
Half-life Alyx,PC,Shooter,10,4/3/2020,126098,TRUE,Amazing.,,Bronze
wartile,PC,Strategy,7,3/30/2020,18185,FALSE,Cool looking strategy game,,
Animal Crossing,Switch,Casual,9,3/26/2020,109462,NA,"It's animal crossing! Loved it for a bit, but there aren't enough event updates. Was hoping more for almost a ""live service"" type of game model.",,
world of horror,PC,Horror,7,3/21/2020,26869,FALSE,Fun! the story gets sort of lost sometimes.,,
Roundguard,PC,Casual,7,3/14/2020,97114,FALSE,Really fun peggle RPG mix! Love it!,,
smart city plan,PC,Builder,7,3/14/2020,122273,FALSE,"good indie city builder, though not a ton to separate it from others",,
Space Hulk: Tactics,PC,Strategy,6,3/14/2020,86269,FALSE,It's space hulk.,,
"Yes, your grace",PC,Strategy,6,3/13/2020,122729,FALSE,Seems okay! Fun little management type game.,,
Black Mesa,PC,Shooter,7,3/11/2020,6739,TRUE,Conveyor belts. Xen was way too long.,,
Kingdoms of Amalur,PC,RPG,7,3/2/2020,1059,FALSE,"It's okay, but lack of skill variety for long stretches makes it somewhat of a grind.",,
The Pedestrian,PC,Puzzle,7,2/10/2020,25837,FALSE,"Unique puzzle game, and some of the later puzzlers are hard as heck.",,
Baldur's Gate 2,PC,RPG,8,2/6/2020,6,TRUE,"Good, but really tough to stream.",,
Project: Gorgon,PC,MMO,6,2/1/2020,26836,NA,"Really interesting mmo, need to check out more.",,
Unrailed,PC,Party,7,2/1/2020,115201,FALSE,Fun local co-op!,,
Sekiro,PC,Action,6,1/8/2020,115201,FALSE,Can't git gud? Then git chicken.,,
Ratchet and Clank,PS4,Platformer,8,1/6/2020,11065,TRUE,Fun game with neat weapons.,,
God of War,PS4,Action,9,1/1/2020,19560,TRUE,Amazing game,,
Star Wars Battlefront II,PS4,Action,8,12/27/2019,26401,TRUE,Great campaign!,,
Wattam,PC,Other,7,12/26/2019,28818,TRUE,"Pretty good, crazy game.",,
Blade Runner,PC,Adventure,7,12/24/2019,322,TRUE,"Good, but the clues can get a bit overwhelming",,
Titanfall 2,PC,Shooter,9,12/17/2019,322,TRUE,"Great campaign, but short. Good multiplayer co-op mode.",,
MechWarrior 5: Mercenaries,PC,Shooter,8,12/15/2019,26227,FALSE,I think this might be a great co-op game.,,
Frog Detective 2,PC,Mystery,7,12/15/2019,121338,TRUE,"Pretty good, but not as good as number one.",,
Star Wars: The Old Republic,PC,MMO,7,12/13/2019,114,TRUE,"Pretty good, but a LOT of travelling.",Base game finished,
Planet Zoo,PC,Builder,10,11/26/2019,117717,TRUE,Wonderful builder.,,
Rune 2,PC,RPG,6,11/20/2019,55149,FALSE,"Okay, but not too much to do.",,
Kind Words,PC,Other,8,11/15/2019,120646,NA,This needed to exist.,,
Death Stranding,PC,Mystery,8,11/8/2019,19564,FALSE,"It's good, but it just takes soooo long to get things done. Fairly repetitive.",,
The Outer Worlds,PC,RPG,9,11/7/2019,113114,TRUE,Great rpg with some amazing dialog and characters.,,
Crossroads inn,PC,Strategy,6,11/1/2019,107255,FALSE,"Some decent ideas, but bad gameplay.",,
Bigfoot,PC,Survival,6,10/25/2019,31851,NA,"Eh, it's okay!",,
Pine,PC,RPG,6,10/23/2019,56470,FALSE,Pretty good indie rpg! Cool town mechanics! May get a bit repetitive.,,
AI: Somnium Files,PC,Mystery,9,10/22/2019,104971,TRUE,"Some downsides, but I think the good parts FAR outweight the bad.",,
Remnant: From The Ashes,PS4,RPG,9,10/15/2019,105049,TRUE,Very good rpg shooter.,,
Deadly Premonition,PC,Mystery,10,10/14/2019,1276,TRUE,WTF,,
Heavy Rain,PC,Mystery,8,10/4/2019,493,TRUE,Great story and a really fun time.,,
Stygian: Reign of the Old Ones,PC,RPG,7,10/1/2019,21998,FALSE,Looks like a great game! Some really cool concepts.,,
Sayonara Wild Hearts,PC,Music,9,9/22/2019,113107,TRUE,Wow. Crazy awesome game.,,
Jurassic World Evolution,PC,Builder,8,9/22/2019,54996,FALSE,"Good, but can sometimes be a bit annoying.",,
A short hike,PC,Adventure,8,9/22/2019,116753,TRUE,Great little game with a lot of heart.,,
Conglomerate 451,PC,RPG,7,9/22/2019,116593,FALSE,It's okay. A cool twist on the genre.,,
Later Alligator,PC,Adventure,10,9/21/2019,112939,TRUE,Great silly writing and very unexpected mini games. Super wholesome.,True ending.,Silver
Untitled goose game,PC,Puzzle,7,9/21/2019,72813,TRUE,"Good and silly, but pretty short.",,
"I Love You, Colonel Sanders",PC,Dating,7,9/15/2019,122318,TRUE,Died from black magic. Good dating sim.,,
Tribes of Midgard,PC,Action,7,9/14/2019,120619,FALSE,EARLY ACCESS: Pretty good! they have a lot of good stuff planned.,,
Dreams,PS4,Other,10,9/12/2019,11155,NA,I love it so much.,,
Final Fantasy XIV,PC,MMO,8,9/12/2019,386,NA,The best mmo,,
Baldurs Gate: Enhanced Edition,PC,RPG,8,9/12/2019,1880,TRUE,A VERY good classic rpg. Great story. Still love this style of gameplay.,,
Blasphemous,PC,Platformer,6,9/11/2019,11155,FALSE,"Meh. Good art style and movement, but not for me.",,
Wilmots Warehouse,PC,Puzzle,8,9/10/2019,77494,FALSE,"Love it! So simple, but so fun and nice and wholesome.",,
Smile for Me,PC,Puzzle,7,9/10/2019,116851,TRUE,Weird puzzle game that is very trippy.,,
Devil's Hunt,PC,Action,5,9/10/2019,11155,TRUE,,,
Phoenix Wright: Ace Attorney Trilogy,PC,Mystery,7,9/8/2019,21610,FALSE,A good game with a great sense of humor. Lots of text to read.,,
Control,PC,Action,10,9/5/2019,103329,TRUE,One of the best games I've played in a long time. Loved the story.,,Gold
Erica,PS4,Mystery,9,9/2/2019,75240,TRUE,OMG. I loved the entire thing!,,
NITE Team 4,PC,Simulator,6,9/1/2019,27675,FALSE,A REALLY good hacking sim. But its so accurate that its hard for people to watch.,,
Aircar,PC,Simulator,7,8/27/2019,121309,FALSE,A good relaxing VR flight sim.,,
"The Haunted Island, a Frog Detective Game",PC,Mystery,9,8/20/2019,111117,TRUE,FROG. DETECTIVE.,,
1000 days to escape,PC,Strategy,7,8/20/2019,120028,FALSE,A super solid little puzzle-ish strategy game.,,
Age of Wonders: Planetfall,PC,Strategy,6,8/20/2019,102057,FALSE,Great sci-fi strategy game with xcom like battles. Love the ability to choose different empires that play very differently.,,
Dicey Dungeons,PC,Roguelike,9,8/19/2019,102420,NA,An amazingly simple and addtictive game.,,
Blade & Sorcery,VR,Action,6,8/18/2019,111474,NA,The best implementation of VR swordfighting so far.,,
Hamsterdam,PC,Music,5,8/16/2019,107219,FALSE,Its okay... made for phones.,,
Dauntless,PC,Action,7,8/15/2019,107219,NA,"A great monster hunter clone. Fun to play with friends, but gets grindy.",,
Star Citizen,PC,Action,7,8/15/2019,1595,NA,"A cool space sim with a lot of potential, and a lot of bugs.",,
Alien Caseno,PC,Mystery,6,8/15/2019,26571,TRUE,You wander around.,,
Duskers,PC,Simulator,8,8/10/2019,1595,FALSE,Great puzzle game / hacking game. Easy to learn.,,
Shores Unknown,PC,RPG,7,8/10/2019,116689,FALSE,A cool little RPG. We just played the demo.,,
How To Be A Real Dude,PC,Shooter,3,8/9/2019,117392,TRUE,....,,
Wolfenstein: Youngblood,PC,Shooter,5,8/1/2019,103301,FALSE,"Bad implementation and bad options. Can't turn off headbob. Got sick.,",,
DOTA Underlords,PC,Strategy,7,7/22/2019,119416,NA,Standard auto chess game.,,
Teamfight Tactics,PC,Strategy,7,7/22/2019,120176,NA,Standard auto chess game.,,
Outpost Zero,PC,Survival,8,7/20/2019,81207,FALSE,A solid game with fun building mechanics.,,
Destiny 2,PC,MMO,8,7/20/2019,25657,NA,,,
A Robot Named Fight,PC,Roguelike,7,7/20/2019,51944,FALSE,A good metroidvania game. Sticks to its roots.,,
Don't Sink,Switch,RPG,6,7/20/2019,75173,FALSE,A fun little pirate game. Pretty shallow.,,
Beneath the Surface,PC,Other,7,7/19/2019,111630,FALSE,,,
Colony Survival,PC,Survival,8,7/15/2019,35371,NA,,,
Godhood,PC,Strategy,6,7/10/2019,106679,FALSE,,,
Cliff Empire,PC,Builder,7,7/8/2019,99124,FALSE,,,
Desert Bus VR,VR,Driving,3,7/2/2019,76421,FALSE,,,
City of Brass,PC,Action,6,7/1/2019,44122,FALSE,,,
Bloodstained: Ritual of the Night,PC,Platformer,7,6/20/2019,10760,FALSE,Pretty great platformer!,,
"Warhammer 40,000: Mechanicus",PC,Strategy,7,6/20/2019,88461,FALSE,,,
Jazztronauts,PC,Action,8,6/16/2019,145231,NA,,,
Northgard,PC,Builder,7,6/15/2019,18918,FALSE,,,
Minit,PC,RPG,6,6/14/2019,26970,FALSE,,,
Cadence of Hyrule,Switch,Music,8,6/13/2019,116419,TRUE,,,
Devolver Bootleg,PC,Other,7,6/9/2019,119315,TRUE,,,
Spinnortality,PC,,8,6/6/2019,51471,FALSE,,,
Swag and Sorcery,PC,Other,6,6/5/2019,107482,FALSE,,,
The Hex,PC,Mystery,9,6/3/2019,107482,TRUE,,,
Bunny Business,PC,Action,7,6/2/2019,184887,TRUE,,,
Observation,PC,Puzzle,8,6/1/2019,110807,TRUE,,,
Pandemic Express,PC,Action,3,6/1/2019,110294,FALSE,,,
Plague Tale Innocence,PC,Adventure,10,5/25/2019,110807,TRUE,,,Bronze
Pathologic 2,PC,RPG,4,5/23/2019,55322,FALSE,,,
Textorcist,PC,Roguelike,6,5/15/2019,107178,FALSE,,,
Kingdom Come Deliverance,PC,RPG,8,5/10/2019,4843,FALSE,,,
Fell Seal: Arbiter's Mark,PC,Strategy,6,4/30/2019,55771,FALSE,,,
Mordhau,PC,Action,9,4/29/2019,27729,NA,,,
Anno 1800,PC,Strategy,7,4/16/2019,55036,FALSE,,,
World War z,PC,Shooter,5,4/16/2019,115272,TRUE,,,
Islanders,PC,Puzzle,8,4/4/2019,116133,TRUE,,,
Outward,PC,RPG,8,3/26/2019,22778,FALSE,,,
Satisfactory,PC,Builder,8,3/23/2019,90558,FALSE,Great potential. Really fun.,,
Hypnospace Outlaw,PC,Mystery,8,3/20/2019,99071,FALSE,So much nostalgia. Wonderfully built game.,,
Hades,PC,Roguelike,8,3/5/2019,113112,FALSE,This could very well become a 10 as it's constantly being updated.,,
Pikuniku,PC,Platformer,9,2/16/2019,55190,TRUE,Great simple game with some wonderful moments.,,
Metro: Exodus,PC,Shooter,6,2/15/2019,37016,FALSE,,,
Lovecraft's Untold Stories,PC,Roguelike,8,2/14/2019,102995,FALSE,,,
Tetris 99,Switch,Puzzle,8,2/13/2019,115282,NA,,,
Tetris Effect,PC,Puzzle,8,2/10/2019,103221,TRUE,Wow...,,
Sherlock Holmes: The Devils Daughter,PC,Mystery,7,2/10/2019,11563,TRUE,Pretty good game. The best part was the very end when they decided to do some cool magical stuff.,,
Earthbound,PC,RPG,9,2/2/2019,103221,TRUE,"Honestly, a great game but I'm glad we were on the snes with save states. I can't imagine what it would be like without that. However, it was a fantasic game.",,
Onimusha Warlords,PC,Action,5,1/20/2019,107292,FALSE,Bad controls and planning around puzzles.,,
Celeste,PC,Platformer,9,1/15/2019,26226,TRUE,Really really good game. Touching story.,,
Yakuza 0,PC,Action,8,1/15/2019,11397,TRUE,"Fun story, but boss fights are a drag and some side missions are... weird.",,
WarFallen,PC,Action,1,1/12/2019,82438,FALSE,Maybe the worst game I've played in a long time.,,
The Shapeshifting Detective,PC,Puzzle,9,1/10/2019,105629,TRUE,Great story with some funny voice acting.,,
Slay the Spire,PC,Card / Board Game,8,1/10/2019,40477,FALSE,A very fun addicting deck builder.,,
Lamplight City,PC,Mystery,7,1/10/2019,79999,FALSE,"Quick look, seems like a good game. But, we dont have time to complete it right now.",,
Atlas,PC,RPG,5,1/10/2019,113116,FALSE,"Bad introduction and buggy, but a lot of potential.",,
Return of the Obra Dinn,PC,Puzzle,10,12/27/2018,9643,TRUE,Great puzzler! Very cool story and gameplay mechanics.,,Gold
Mutant Year Zero,PC,Strategy,9,12/25/2018,89560,TRUE,Great xcom style game with simplified mechanics and fun story.,,
Ashen,PC,RPG,9,12/15/2018,17001,TRUE,Great dark souls rpg with very cool bossfights and multiplayer mechanics.,,
Battlefield V,PC,Shooter,8,12/15/2018,83728,NA,,,
Super Smash Bros Ultimate,PC,Fighting,8,12/13/2018,90101,NA,Great game,,
Exapunks,PC,Puzzle,8,12/5/2018,106122,FALSE,Holy crap. What a cool game that is just brutally difficult. Major coding involved.,,
The Bard's Tale IV,PC,RPG,,12/5/2018,26986,FALSE,,,
Deltarune,PC,Adventure,8,12/1/2018,171233,TRUE,"Good, but not as good as undertale.",,
Runes: The forgotten Path,PC,VR,7,11/25/2018,33172,FALSE,"Seems like it could be neat, but these puzzles are tough!",,
Do Not Feed The Monkeys,PC,Adventure,6,11/15/2018,52014,FALSE,Uhh... looked promising but gets boring very fast.,,
Element Space,PC,Strategy,8,11/11/2018,106401,FALSE,Early Access: Looks like it'll be awesome fun.,,
Battle Chef Brigade,PC,Puzzle,6,11/11/2018,23689,FALSE,"Seems okay, but I just could not get into the style at all.",,
I Expect You To Die,PC,VR,6,11/11/2018,25948,FALSE,Seems okay. A few funny parts but failing any part results in doing the entire puzzle over again. Annoying.,,
Hellsign,PC,Action,5,11/11/2018,24989,FALSE,"Shows promise, but writing is god awful.",,
Red Dead Redemption 2,PC,Action,10,11/8/2018,25076,TRUE,Another great game from rockstar.,,Silver
Call of Cthulhu,PC,Horror,7,11/8/2018,9176,TRUE,"Good lore and feel, but janky gameplay and animations.",,
Mad Father,PC,Horror,7,11/8/2018,3203,TRUE,Surprisingly fun for an indie game maker anime horror thing!,,
Wandersong,PC,Adventure,9,10/25/2018,23851,TRUE,Great game with a wonderful story and unique gameplay.,,
Manual Samuel,PC,Adventure,7,10/20/2018,18688,TRUE,Funny QWOP style game with some great humor. Death is awesome.,,
The Darkside Detective,PC,Adventure,7,10/18/2018,35283,TRUE,A fun little adventure game with easy puzzles and good humor,,
Pathfinder Kingmaker,PC,RPG,6,10/18/2018,36929,FALSE,"Prologue finished multiple times, but the game is just too broken. Will have to revisit next year,",,
Grim Dawn,PC,Action,8,10/1/2018,1907,FALSE,"A fun diablo like game, but it really runs on for a long time.",,
Dex,PC,RPG,5,9/21/2018,16925,FALSE,"A unique RPG, but wasnt feeling it.",,
IronWolf VR,PC,VR,8,9/11/2018,30649,NA,Great VR game. Immersion is fantastic.,,
Donut County,PC,Adventure,7,9/7/2018,55080,TRUE,"Great goofy story, but a bit short.",,
Metal Gear Rising Revengence,PC,Action,9,9/1/2018,378,TRUE,This game is goofy as hell and I love it.,,
Sword Legacy Omen,PC,Strategy,7,9/1/2018,74734,FALSE,"Fun, but did not keep my interest in the story.",,
Unavowed,PC,Adventure,9,8/23/2018,27867,TRUE,Awesome Dresden Files type story,,
Beat Saber,PC,Music,9,8/23/2018,83731,FALSE,"Absolutely incredible, but needs mods.",,
Dead Cells,PC,Roguelike,9,8/23/2018,26855,NA,The best RL,,
Not Tonight,PC,Puzzle,5,8/15/2018,96088,FALSE,Not great. Supposed to be like papers please but with a bar.,,
Owlboy,PC,Platformer,8,8/1/2018,12597,TRUE,A fun platformer with cut graphics!,,
Detroit: Become Human,PC,Adventure,8,8/1/2018,14362,TRUE,"A fun story, but full of holes.",,
Frostpunk,PC,Strategy,8,7/24/2018,23248,TRUE,I really enjoyed this game. Super unique building mechanics with an end goal. Lets you take many different unique paths on how you survive.,,
Tyranny,PC,RPG,8,7/15/2018,18398,TRUE,"A great RPG, that has many cool systems and a wonderful story. But lacks in combat and enemy variety.",,
Software Inc,PC,Builder,7,7/15/2018,35463,FALSE,"A wonderful building game with a high learning curve, but GREAT detail.",,
Far: Lone Sails,PC,Adventure,8,7/1/2018,19520,TRUE,A great little indie game. Pretty short.,,
Elder Scrolls Online,PC,MMO,8,5/28/2018,1081,NA,Perfect MMO. It's amazing in so many ways.,,
Moonlighter,PC,RPG,8,5/25/2018,27771,FALSE,Great little indie RPG with a unique shop keeping aspect to it.,,
The Darkness 2,PC,Action,8,5/20/2018,544,TRUE,A great action game that makes you feel powerful.,,
Monster Prom,PC,Dating,8,5/20/2018,69483,TRUE,This game suprised me. The writing is soooo goood.,,
Sea of Thieves,PC,Action,8,4/15/2018,11137,FALSE,"Great water, fun with a crew.",,
Into The Breach,PC,Strategy,9,3/3/2018,27117,FALSE,A great strategy game by the FTL people.,,
Choice of Robots,PC,Visual Novel,7,3/3/2018,13093,TRUE,Amazing writing.,,
Open Sorcery,PC,Visual Novel,7,3/3/2018,27444,TRUE,"Wow, this is very good.",,
Shadow of the Colossus,PC,Adventure,8,2/22/2018,37094,TRUE,"Fun, but sometimes annoying.",,
Book of Demons,PC,RPG,7,2/22/2018,22747,FALSE,A neat little dungeon crawler.,,
Monster Hunter World,PC,RPG,9,2/16/2018,36926,NA,"Great game, but the multiplayer implementation is just weird. Also weapons need more variety.",,
Gorogoa,PC,Puzzle,8,2/15/2018,9136,TRUE,Really unique puzzler with a lot of Woaaaah moments.,,
Nioh,PC,RPG,10,2/1/2018,12571,TRUE,Amazing souls-like experience with unique story.,,Bronze
Masquerada: Songs and Shadows,PC,RPG,8,1/1/2018,24474,TRUE,"Great, but the initial lore dump is big. Takes a bit to get into the world.",,
Life is Strange: Before The Storm,PC,Mystery,10,12/28/2017,29004,TRUE,"Great story, great plot points. A few open questions and plotlines that never get tied up, but great overall.",,
A Hat In Time,PC,Platformer,10,12/27/2017,6705,TRUE,Fantastic platformer.,,
The Are Billions,PC,Strategy,7,12/22/2017,36616,FALSE,"Really fun basebuilder. Still in early access, but shows a ton of promise.",,
Sexy Brutale,PC,Adventure,4,12/21/2017,22783,FALSE,"Neat art, but the gameplay is a tedious mix of confusion and trial and error.",,
STRAFE,PC,Shooter,6,12/20/2017,9062,FALSE,Difficult roguelike that really brings back 90s shooter feelings.,,
Furi,PC,Action,5,12/18/2017,17026,TRUE,"Neat, but brutal difficulty. Game doesnt control well enough for it.",,
LA Noire VR,PC,Mystery,7,12/17/2017,59587,TRUE,Fun but with a few weird hiccups.,,
Nex Machina,PC,Action,7,12/15/2017,26202,TRUE,"Great, amazing music. VERY short. One hour playtime.",,
Ruiner,PC,Action,8,12/12/2017,18857,TRUE,"Really liked this one! Great abilities, neat story.",,
The Black Watchmen: Mother Russia,PC,Puzzle,8,12/9/2017,170485,TRUE,"Good, but not as good as base game.",,
The Frostrune,PC,Adventure,7,12/9/2017,18751,TRUE,"Good story, very good point and click.",,
Final Fantasy IX,PC,RPG,7,12/4/2017,421,TRUE,"Great story, but dated gameplay that requires grinding.",,
Cuphead,PC,Platformer,9,11/27/2017,237497,FALSE,"Although I havent finished, this game is amazing. The love that went into it absolutely shows. Every boss is super unique.",,
D4: Dark Dreams Don't Die - Season 1,PC,Adventure,8,11/26/2017,4758,TRUE,"Great wacky story. But, leaves on a cliffhanger that will never be finished.",,
Wolfenstein: The New Order,PC,Shooter,8,11/15/2017,2031,TRUE,Great first person shooter with a good storyline.,,
Mario Odyssey,Switch,Platformer,10,11/6/2017,26758,TRUE,Perfect.,,
Doki Doki Literature Club,PC,Visual Novel,7,10/21/2017,55935,TRUE,Very slow build up to a very cool game. You must play 5+ hours of regular anime dating sim before things get awesome.,,
Phantasmagoria,PC,Adventure,5,10/19/2017,221,TRUE,Funny FMV with some disturbing content.,,
Conarium,PC,Adventure,5,10/19/2017,24856,TRUE,Neat atmosphere.,,
Until Dawn,PC,Adventure,8,10/13/2017,7609,TRUE,"A great horror game that makes you question everyones choices just like a real horror movie! The ""dont move"" mechanic kinda sucks. To many possible deaths right at the end too.",,
Kona,PC,Adventure,6,10/8/2017,14404,TRUE,"Good story, with some fun horror and survival mechanics. Fun little world to explore.",,
Pinstripe,PC,Platformer,8,10/5/2017,20454,TRUE,Good story with some fun dialog. Very short game at 3 hours.,,
Observer,PC,Horror,5,10/5/2017,20454,FALSE,A very slow game whose horror focus is on jump scares. The story itself is very interesting and would have been an amazing game had they skipped the horror part.,,
Divinity Original Sin 2,PC,RPG,9,10/1/2017,11800,FALSE,A very fun RPG that has a few drawn out sections that really slow things down.,,
Heat Signature,PC,Action,6,9/30/2017,10160,FALSE,"A neat little action game, but doesn't seem like a lot of depth. Maybe there is something later on, but not sure it'll keep my attention for that long.",,
Another Lost Phone,PC,Mystery,5,9/30/2017,55048,TRUE,"It's okay! Decent story, but I feel like the first one was better.",,
Hellblade: Senua's Sacrifice,PC,Action,10,9/23/2017,7603,TRUE,Wow. Fantastic story with some crazy turns. Perfect balance of horror..,,
Lost Constellation,PC,Adventure,8,9/21/2017,60719,TRUE,A great companion to night in the woods. The righting and feels are perfect..,,
Dragon's Dogma,PC,RPG,7,9/20/2017,3968,TRUE,"A good idea, but it has so many poorly executed mechanics.",,
Remember Me,PC,Action,5,9/9/2017,1827,TRUE,"Neat story, terrible everything else.",,
Kingsway,PC,RPG,8,8/26/2017,27712,TRUE,Super clever little OS simulator.,,
South Park: Stick of Truth,PC,RPG,8,8/26/2017,1262,TRUE,Great gameplay. Maybe not 100% stream safe!,,
Thimbleweed Park,PC,Adventure,8,8/19/2017,10232,TRUE,"Great story, but the help line was definitely needed. Love how it ties everything together at the end.",,
Subsurface Circular,PC,Mystery,6,8/18/2017,54780,FALSE,"Neat story, but game softlocked and has a poor save system.",Chapter 5,
West of Loathing,PC,RPG,7,8/12/2017,44516,FALSE,"Not a bad game, but I was honestly expecting more jokes and puns.",,
Prison Architect,PC,Builder,7,8/6/2017,1338,TRUE,"Good game, although it feels rather easy.",,
Tacoma,PC,Mystery,8,8/1/2017,8259,TRUE,Great storytelling. I sort of felt like the personal computer bits took me out of the story at points. Downloading them causes the timeline to stop temporarily while you read and sort of pulls you out of the narrative.,,
Pyre,PC,RPG,9,7/29/2017,18822,TRUE,Probably one of my favorite supergiant games. Great story and characters.,,
Dream Daddies,PC,Dating,8,7/25/2017,38045,TRUE,Way better than I thought it'd be!,Damien <3,
Guild of Dungeoneers,PC,Strategy,7,7/21/2017,11447,FALSE,Really fun card based game. This is a perfect time waster.,,
Silence,PC,Adventure,7,7/19/2017,115840,TRUE,Great game with a wonderful art style. The loading screens were a huge pain since a lot of puzzles were based around two locations.,,
